,Digit,Mean,std,Heigth,Width,h_w
127,0,,,19.0,19.0,19
128,0,,,18.0,19.0,19
129,0,0.22066326530612246,0.414958575695017,19.0,19.0,19
130,0,,,19.0,19.0,19
131,0,,,19.0,15.0,15
132,0,,,17.0,19.0,19
133,0,,,14.0,19.0,19
134,0,,,19.0,13.0,13
135,0,,,19.0,17.0,17
136,0,,,19.0,16.0,16
137,0,,,19.0,19.0,19
138,0,,,19.0,14.0,14
139,0,,,19.0,18.0,18
140,0,,,19.0,17.0,17
141,0,0.31760204081632654,0.4658409386513226,19.0,15.0,15
142,0,,,19.0,19.0,19
143,0,,,19.0,19.0,19
144,0,,,19.0,19.0,19
145,0,,,17.0,19.0,19
146,0,0.21556122448979592,0.4114736204279424,19.0,11.0,11
147,0,,,19.0,17.0,17
148,0,,,19.0,18.0,18
149,0,0.24489795918367346,0.4303011981388305,19.0,17.0,17
150,0,,,19.0,15.0,15
151,0,,,19.0,19.0,19
152,0,,,19.0,14.0,14
153,0,0.19770408163265307,0.39852196169749915,19.0,11.0,11
154,0,,,19.0,16.0,16
155,0,,,15.0,19.0,19
156,0,,,19.0,15.0,15
157,0,0.22831632653061223,0.4200154737024003,17.0,19.0,19
158,0,,,19.0,15.0,15
159,0,,,17.0,19.0,19
160,0,,,17.0,19.0,19
161,0,,,19.0,19.0,19
162,0,,,19.0,19.0,19
163,0,,,19.0,17.0,17
164,0,,,19.0,15.0,15
165,0,,,19.0,19.0,19
166,0,,,19.0,17.0,17
167,0,,,19.0,11.0,11
168,0,,,19.0,17.0,17
169,0,,,19.0,19.0,19
170,0,,,19.0,17.0,17
171,0,,,19.0,17.0,17
172,0,,,19.0,17.0,17
173,0,,,19.0,19.0,19
174,0,,,19.0,19.0,19
175,0,,,19.0,15.0,15
176,0,,,19.0,19.0,19
177,0,,,19.0,19.0,19
178,0,,,19.0,15.0,15
179,0,,,19.0,15.0,15
180,0,,,19.0,13.0,13
181,0,,,19.0,19.0,19
182,0,,,19.0,16.0,16
183,0,0.21428571428571427,0.41058784136762644,19.0,17.0,17
184,0,,,19.0,19.0,19
185,0,,,13.0,19.0,19
186,0,,,19.0,12.0,12
187,0,,,19.0,13.0,13
188,0,0.27040816326530615,0.4444542183615264,19.0,14.0,14
189,0,,,19.0,19.0,19
190,0,,,19.0,15.0,15
191,0,,,17.0,19.0,19
192,0,,,19.0,19.0,19
193,0,0.21045918367346939,0.4078950023503247,19.0,13.0,13
194,0,,,19.0,19.0,19
195,0,0.21045918367346939,0.4078950023503246,15.0,19.0,19
196,0,0.22959183673469388,0.420838834815152,19.0,15.0,15
197,0,,,19.0,18.0,18
198,0,,,19.0,16.0,16
199,0,,,18.0,19.0,19
200,0,0.23214285714285715,0.422469175611988,19.0,15.0,15
201,0,0.17857142857142858,0.38323753592253634,19.0,14.0,14
202,0,,,19.0,17.0,17
203,0,0.29336734693877553,0.45559598484849456,19.0,17.0,17
204,0,0.2308673469387755,0.42165672485983074,19.0,17.0,17
205,0,,,19.0,19.0,19
206,0,,,17.0,19.0,19
207,0,,,19.0,19.0,19
208,0,,,19.0,11.0,11
209,0,,,17.0,19.0,19
210,0,,,19.0,19.0,19
211,0,,,19.0,17.0,17
212,0,,,17.0,19.0,19
213,0,,,19.0,17.0,17
214,0,,,19.0,13.0,13
215,0,,,19.0,19.0,19
216,0,,,19.0,15.0,15
217,0,,,19.0,15.0,15
218,0,,,19.0,15.0,15
219,0,,,19.0,17.0,17
220,0,,,19.0,18.0,18
221,0,,,19.0,16.0,16
222,0,,,17.0,19.0,19
223,0,,,19.0,19.0,19
224,0,,,19.0,19.0,19
225,0,,,19.0,19.0,19
226,0,,,19.0,17.0,17
227,0,,,19.0,16.0,16
228,0,,,19.0,15.0,15
229,0,,,19.0,17.0,17
230,0,,,19.0,17.0,17
231,0,,,19.0,18.0,18
232,0,,,19.0,19.0,19
233,0,,,19.0,19.0,19
234,0,,,14.0,19.0,19
235,0,,,15.0,19.0,19
236,0,,,17.0,19.0,19
237,0,,,19.0,19.0,19
238,0,,,19.0,11.0,11
239,0,,,19.0,17.0,17
240,0,,,14.0,19.0,19
241,0,,,19.0,17.0,17
242,0,,,19.0,11.0,11
243,0,,,18.0,19.0,19
244,0,,,19.0,19.0,19
245,0,,,19.0,15.0,15
246,0,,,19.0,14.0,14
247,0,,,19.0,18.0,18
248,0,0.3239795918367347,0.468291074944726,19.0,17.0,17
249,0,,,19.0,18.0,18
250,0,,,19.0,19.0,19
251,0,0.2002551020408163,0.4004466678824113,17.0,19.0,19
252,0,,,19.0,15.0,15
253,0,,,19.0,14.0,14
254,0,,,19.0,15.0,15
255,0,,,19.0,16.0,16
256,0,,,19.0,18.0,18
257,0,,,19.0,14.0,14
258,0,,,15.0,19.0,19
259,0,,,19.0,19.0,19
260,0,0.23596938775510204,0.4248742031018577,13.0,19.0,19
261,0,,,19.0,19.0,19
262,0,,,19.0,14.0,14
263,0,,,19.0,16.0,16
264,0,0.2576530612244898,0.43762111132661485,15.0,19.0,19
265,0,,,19.0,11.0,11
266,0,,,19.0,13.0,13
267,0,0.20408163265306123,0.4032862117046612,19.0,18.0,18
268,0,,,19.0,15.0,15
269,0,,,19.0,18.0,18
270,0,,,17.0,19.0,19
271,0,,,19.0,19.0,19
272,0,0.28061224489795916,0.4495851729567955,19.0,15.0,15
273,0,0.22193877551020408,0.4158154570612615,19.0,19.0,19
274,0,,,19.0,19.0,19
275,0,,,19.0,17.0,17
276,0,0.22321428571428573,0.4166666666666659,19.0,19.0,19
277,0,,,18.0,19.0,19
278,0,,,19.0,16.0,16
279,0,0.21045918367346939,0.4078950023503245,19.0,15.0,15
280,0,,,15.0,19.0,19
281,0,,,19.0,15.0,15
282,0,,,19.0,17.0,17
283,0,,,19.0,15.0,15
284,0,,,19.0,19.0,19
285,0,0.2372448979591837,0.42566520547427894,19.0,19.0,19
286,0,0.32653061224489793,0.4692432472772893,19.0,15.0,15
287,0,,,19.0,19.0,19
288,0,0.3112244897959184,0.46328995150941943,19.0,19.0,19
289,0,,,19.0,15.0,15
290,0,,,18.0,19.0,19
291,0,,,17.0,19.0,19
292,0,0.23214285714285715,0.42246917561198793,19.0,18.0,18
293,0,,,19.0,19.0,19
294,0,,,19.0,17.0,17
295,0,,,15.0,19.0,19
296,0,,,19.0,17.0,17
297,0,,,19.0,19.0,19
298,0,,,19.0,12.0,12
299,0,,,19.0,19.0,19
300,0,,,11.0,19.0,19
301,0,,,19.0,18.0,18
302,0,,,19.0,16.0,16
303,0,,,19.0,13.0,13
304,0,,,19.0,17.0,17
305,0,,,19.0,19.0,19
306,0,,,19.0,15.0,15
307,0,,,16.0,19.0,19
308,0,,,19.0,11.0,11
309,0,,,19.0,13.0,13
310,0,,,19.0,11.0,11
311,0,,,19.0,13.0,13
312,0,,,19.0,17.0,17
313,0,,,19.0,19.0,19
314,0,,,18.0,19.0,19
315,0,,,19.0,15.0,15
316,0,,,19.0,17.0,17
317,0,,,19.0,14.0,14
318,0,,,15.0,19.0,19
319,0,,,19.0,17.0,17
320,0,,,19.0,15.0,15
321,0,,,16.0,19.0,19
322,0,0.22831632653061223,0.4200154737024004,19.0,19.0,19
323,0,,,19.0,17.0,17
324,0,,,19.0,19.0,19
325,0,,,19.0,17.0,17
326,0,,,19.0,13.0,13
327,0,0.3380102040816326,0.4733340023717251,19.0,19.0,19
328,0,,,19.0,19.0,19
329,0,,,19.0,19.0,19
330,0,,,19.0,15.0,15
331,0,,,19.0,19.0,19
332,0,,,19.0,17.0,17
333,0,,,19.0,12.0,12
334,0,,,19.0,15.0,15
335,0,,,17.0,19.0,19
336,0,,,13.0,19.0,19
337,0,,,19.0,19.0,19
338,0,,,19.0,15.0,15
339,0,,,19.0,15.0,15
340,0,,,19.0,18.0,18
341,0,,,19.0,17.0,17
342,0,,,19.0,15.0,15
343,0,,,19.0,17.0,17
344,0,0.25892857142857145,0.43832593994610003,19.0,19.0,19
345,0,,,17.0,19.0,19
346,0,,,19.0,19.0,19
347,0,,,19.0,15.0,15
348,0,,,19.0,17.0,17
349,0,,,19.0,15.0,15
350,0,,,19.0,19.0,19
351,0,,,19.0,10.0,10
352,0,,,19.0,13.0,13
353,0,,,19.0,11.0,11
354,0,,,19.0,14.0,14
355,0,,,19.0,19.0,19
356,0,,,19.0,15.0,15
357,0,0.2895408163265306,0.4538387911976641,19.0,19.0,19
358,0,,,19.0,19.0,19
359,0,,,17.0,19.0,19
360,0,,,19.0,18.0,18
361,0,,,19.0,16.0,16
362,0,,,19.0,17.0,17
363,0,,,19.0,15.0,15
364,0,,,19.0,19.0,19
365,0,,,18.0,19.0,19
366,0,0.23214285714285715,0.422469175611988,19.0,16.0,16
367,0,,,18.0,19.0,19
368,0,,,19.0,17.0,17
369,0,,,14.0,19.0,19
370,0,,,19.0,18.0,18
371,0,,,19.0,19.0,19
372,0,,,19.0,17.0,17
373,0,0.2538265306122449,0.4354773373861911,19.0,18.0,18
374,0,,,19.0,13.0,13
375,0,0.2576530612244898,0.4376211113266148,17.0,19.0,19
376,0,,,19.0,19.0,19
377,0,,,19.0,18.0,18
378,0,,,17.0,19.0,19
379,0,,,14.0,19.0,19
380,0,,,17.0,19.0,19
381,0,,,19.0,16.0,16
382,0,,,19.0,17.0,17
383,0,,,19.0,17.0,17
384,0,,,19.0,18.0,18
385,0,,,19.0,15.0,15
386,0,,,19.0,14.0,14
387,0,,,19.0,17.0,17
388,0,,,19.0,19.0,19
389,0,,,19.0,15.0,15
390,0,,,19.0,17.0,17
391,0,,,19.0,19.0,19
392,0,,,19.0,19.0,19
393,0,,,19.0,19.0,19
394,0,,,19.0,18.0,18
395,0,,,17.0,19.0,19
396,0,,,17.0,19.0,19
397,0,,,19.0,19.0,19
398,0,,,19.0,16.0,16
399,0,,,19.0,19.0,19
400,0,,,16.0,19.0,19
401,0,,,19.0,16.0,16
402,0,,,19.0,11.0,11
403,0,0.3201530612244898,0.46683300488272583,19.0,17.0,17
404,0,0.22193877551020408,0.41581545706126094,19.0,13.0,13
405,0,,,17.0,19.0,19
406,0,,,19.0,19.0,19
407,0,,,19.0,19.0,19
408,0,,,19.0,19.0,19
409,0,,,19.0,8.0,8
410,0,,,19.0,19.0,19
411,0,,,19.0,17.0,17
412,0,0.2857142857142857,0.45204233574720826,19.0,13.0,13
413,0,,,19.0,13.0,13
414,0,,,19.0,19.0,19
415,0,,,19.0,14.0,14
416,0,,,19.0,17.0,17
417,0,,,19.0,19.0,19
418,0,0.25,0.433289122413121,19.0,17.0,17
419,0,,,19.0,19.0,19
420,0,,,19.0,17.0,17
421,0,,,19.0,12.0,12
422,0,,,19.0,19.0,19
423,0,,,19.0,19.0,19
424,0,,,19.0,15.0,15
425,0,,,17.0,19.0,19
426,0,,,19.0,19.0,19
427,0,,,15.0,19.0,19
428,0,,,19.0,17.0,17
429,0,,,19.0,19.0,19
430,0,,,19.0,19.0,19
431,0,,,19.0,15.0,15
432,0,,,19.0,16.0,16
433,0,0.22576530612244897,0.41835220884638363,19.0,17.0,17
434,0,,,19.0,17.0,17
435,0,0.24489795918367346,0.4303011981388306,19.0,12.0,12
436,0,,,19.0,16.0,16
437,0,,,19.0,19.0,19
438,0,,,16.0,19.0,19
439,0,,,19.0,18.0,18
440,0,,,19.0,13.0,13
441,0,,,19.0,19.0,19
442,0,,,17.0,19.0,19
443,0,,,19.0,11.0,11
444,0,,,19.0,19.0,19
445,0,,,19.0,17.0,17
446,0,,,19.0,19.0,19
447,0,,,19.0,19.0,19
448,0,,,19.0,15.0,15
449,0,,,19.0,13.0,13
450,0,,,17.0,19.0,19
451,0,,,19.0,17.0,17
452,0,,,17.0,19.0,19
453,0,,,19.0,11.0,11
454,0,,,18.0,19.0,19
455,0,,,19.0,17.0,17
456,0,,,19.0,15.0,15
457,0,,,19.0,16.0,16
458,0,,,19.0,19.0,19
459,0,,,19.0,15.0,15
460,0,,,17.0,19.0,19
461,0,,,19.0,17.0,17
462,0,,,19.0,19.0,19
463,0,,,19.0,19.0,19
464,0,,,19.0,13.0,13
465,0,,,19.0,13.0,13
466,0,,,19.0,19.0,19
467,0,,,19.0,15.0,15
468,0,,,18.0,19.0,19
469,0,,,19.0,19.0,19
470,0,,,19.0,17.0,17
471,0,,,19.0,16.0,16
472,0,0.26785714285714285,0.4431254373839333,19.0,12.0,12
473,0,,,19.0,19.0,19
474,0,,,19.0,15.0,15
475,0,,,19.0,19.0,19
476,0,,,19.0,11.0,11
477,0,,,19.0,15.0,15
478,0,,,19.0,17.0,17
479,0,,,18.0,19.0,19
480,0,,,19.0,19.0,19
481,0,,,17.0,19.0,19
482,0,,,19.0,15.0,15
483,0,,,19.0,19.0,19
484,0,,,17.0,19.0,19
485,0,,,19.0,13.0,13
486,0,0.19005102040816327,0.39259167358731906,19.0,15.0,15
487,0,,,19.0,17.0,17
488,0,,,19.0,15.0,15
489,0,,,19.0,17.0,17
490,0,,,19.0,15.0,15
491,0,,,19.0,15.0,15
492,0,,,19.0,15.0,15
493,0,,,15.0,19.0,19
494,0,,,19.0,17.0,17
495,0,,,19.0,19.0,19
496,0,,,19.0,19.0,19
497,0,,,19.0,19.0,19
498,0,,,19.0,19.0,19
499,0,,,19.0,17.0,17
500,0,,,19.0,13.0,13
501,0,,,19.0,19.0,19
502,0,0.20535714285714285,0.4042202338400729,18.0,19.0,19
503,0,,,19.0,19.0,19
504,0,,,19.0,15.0,15
505,0,,,19.0,17.0,17
506,0,,,19.0,19.0,19
507,0,,,19.0,17.0,17
508,0,0.3622448979591837,0.48095590345922185,19.0,14.0,14
509,0,,,19.0,19.0,19
510,0,,,18.0,19.0,19
511,0,,,19.0,11.0,11
512,0,,,19.0,19.0,19
513,0,,,17.0,19.0,19
514,0,,,19.0,13.0,13
515,0,,,19.0,15.0,15
516,0,,,19.0,19.0,19
517,0,,,19.0,15.0,15
518,0,,,19.0,18.0,18
519,0,,,19.0,19.0,19
520,0,,,19.0,11.0,11
521,0,,,19.0,16.0,16
522,0,,,19.0,17.0,17
523,0,,,16.0,19.0,19
524,0,,,18.0,19.0,19
525,0,,,17.0,19.0,19
526,0,,,19.0,17.0,17
527,0,,,19.0,17.0,17
528,0,,,19.0,19.0,19
529,0,,,19.0,17.0,17
530,0,,,19.0,15.0,15
531,0,,,17.0,19.0,19
532,0,,,19.0,14.0,14
533,0,,,19.0,19.0,19
534,0,,,19.0,19.0,19
535,0,,,19.0,15.0,15
536,0,,,19.0,19.0,19
537,0,,,19.0,15.0,15
538,0,0.20918367346938777,0.4069854248993257,15.0,19.0,19
539,0,,,19.0,19.0,19
540,0,,,19.0,18.0,18
541,0,,,19.0,19.0,19
542,0,0.22066326530612246,0.41495857569501743,17.0,19.0,19
543,0,,,19.0,17.0,17
544,0,,,19.0,19.0,19
545,0,,,19.0,19.0,19
546,0,,,16.0,19.0,19
547,0,,,19.0,19.0,19
548,0,,,19.0,13.0,13
549,0,,,19.0,17.0,17
550,0,,,18.0,19.0,19
551,0,,,19.0,19.0,19
552,0,0.22193877551020408,0.4158154570612614,19.0,19.0,19
553,0,,,19.0,17.0,17
554,0,,,19.0,18.0,18
555,0,0.3227040816326531,0.4678090387534028,19.0,19.0,19
556,0,0.1556122448979592,0.3627187429551889,18.0,19.0,19
557,0,,,19.0,19.0,19
558,0,,,19.0,15.0,15
559,0,,,19.0,15.0,15
560,0,,,19.0,17.0,17
561,0,,,15.0,19.0,19
562,0,,,19.0,19.0,19
563,0,,,19.0,11.0,11
564,0,,,19.0,9.0,9
565,0,,,17.0,19.0,19
566,0,,,17.0,19.0,19
567,0,,,19.0,13.0,13
568,0,,,19.0,19.0,19
569,0,,,16.0,19.0,19
570,0,,,19.0,17.0,17
571,0,,,19.0,19.0,19
572,0,,,19.0,13.0,13
573,0,,,19.0,19.0,19
574,0,,,19.0,18.0,18
575,0,,,19.0,19.0,19
576,0,,,19.0,19.0,19
577,0,,,19.0,15.0,15
578,0,,,19.0,19.0,19
579,0,,,19.0,15.0,15
580,0,,,19.0,11.0,11
581,0,,,19.0,19.0,19
582,0,,,19.0,17.0,17
583,0,,,19.0,19.0,19
584,0,,,19.0,14.0,14
585,0,0.288265306122449,0.4532443579806427,19.0,17.0,17
586,0,,,19.0,15.0,15
587,0,,,19.0,15.0,15
588,0,,,16.0,19.0,19
589,0,,,19.0,13.0,13
590,0,,,18.0,19.0,19
591,0,,,19.0,19.0,19
592,0,,,19.0,19.0,19
593,0,,,19.0,17.0,17
594,0,,,16.0,19.0,19
595,0,,,19.0,13.0,13
596,0,,,19.0,17.0,17
597,0,,,19.0,19.0,19
598,0,,,18.0,19.0,19
599,0,,,19.0,19.0,19
600,0,,,19.0,18.0,18
601,0,0.29846938775510207,0.45787861562635024,19.0,19.0,19
602,0,,,19.0,19.0,19
603,0,0.16326530612244897,0.36984350150022943,19.0,19.0,19
604,0,,,17.0,19.0,19
605,0,,,15.0,19.0,19
606,0,,,19.0,15.0,15
607,0,,,19.0,19.0,19
608,0,,,19.0,13.0,13
609,0,,,19.0,15.0,15
610,0,,,19.0,14.0,14
611,0,,,19.0,19.0,19
612,0,,,19.0,13.0,13
613,0,,,19.0,11.0,11
614,0,,,19.0,19.0,19
615,0,,,19.0,19.0,19
616,0,,,19.0,19.0,19
617,0,,,19.0,15.0,15
618,0,,,19.0,15.0,15
619,0,,,19.0,13.0,13
620,0,,,14.0,19.0,19
621,0,,,19.0,19.0,19
622,0,,,19.0,13.0,13
623,0,,,19.0,11.0,11
624,0,,,19.0,18.0,18
625,0,,,19.0,19.0,19
626,0,,,18.0,19.0,19
627,0,0.2971938775510204,0.4573143692808211,19.0,17.0,17
628,0,,,19.0,15.0,15
629,0,,,19.0,13.0,13
630,0,,,19.0,19.0,19
631,0,,,15.0,19.0,19
632,0,,,19.0,16.0,16
633,0,,,19.0,19.0,19
634,0,,,19.0,15.0,15
635,0,0.31760204081632654,0.4658409386513219,19.0,17.0,17
636,0,,,19.0,11.0,11
637,0,,,19.0,19.0,19
638,0,0.26403061224489793,0.44109706386616504,19.0,19.0,19
639,0,,,19.0,19.0,19
640,0,,,19.0,17.0,17
641,0,,,19.0,17.0,17
642,0,,,15.0,19.0,19
643,0,,,19.0,19.0,19
644,0,,,19.0,17.0,17
645,0,,,19.0,19.0,19
646,0,,,19.0,18.0,18
647,0,,,11.0,19.0,19
648,0,,,19.0,16.0,16
649,0,,,19.0,19.0,19
650,0,,,17.0,19.0,19
651,0,,,19.0,19.0,19
652,0,,,19.0,19.0,19
653,0,,,19.0,19.0,19
654,0,,,19.0,19.0,19
655,0,,,19.0,15.0,15
656,0,,,15.0,19.0,19
657,0,,,19.0,19.0,19
658,0,0.23341836734693877,0.42327621839272384,19.0,17.0,17
659,0,,,19.0,19.0,19
660,0,,,18.0,19.0,19
661,0,,,19.0,19.0,19
662,0,,,19.0,15.0,15
663,0,,,19.0,17.0,17
664,0,,,19.0,17.0,17
665,0,,,19.0,19.0,19
666,0,,,19.0,14.0,14
667,0,,,19.0,16.0,16
668,0,,,13.0,19.0,19
669,0,,,16.0,19.0,19
670,0,,,17.0,19.0,19
671,0,0.34311224489795916,0.4750516623413661,19.0,19.0,19
672,0,,,19.0,15.0,15
673,0,,,19.0,19.0,19
674,0,,,19.0,19.0,19
675,0,0.22066326530612246,0.4149585756950165,19.0,17.0,17
676,0,0.16964285714285715,0.3755583327562875,19.0,18.0,18
677,0,,,17.0,19.0,19
678,0,,,17.0,19.0,19
679,0,,,19.0,13.0,13
680,0,,,19.0,15.0,15
681,0,,,19.0,19.0,19
682,0,,,19.0,11.0,11
683,0,,,19.0,17.0,17
684,0,,,19.0,17.0,17
685,0,,,19.0,15.0,15
686,0,,,18.0,19.0,19
687,0,,,19.0,13.0,13
688,0,,,19.0,16.0,16
689,0,,,19.0,13.0,13
690,0,,,17.0,19.0,19
691,0,,,19.0,15.0,15
692,0,,,19.0,19.0,19
693,0,,,19.0,19.0,19
694,0,,,19.0,17.0,17
695,0,,,19.0,15.0,15
696,0,,,19.0,19.0,19
697,0,,,19.0,18.0,18
698,0,,,19.0,15.0,15
699,0,,,19.0,19.0,19
700,0,,,19.0,17.0,17
701,0,,,19.0,15.0,15
702,0,,,19.0,19.0,19
703,0,,,19.0,19.0,19
704,0,,,19.0,19.0,19
705,0,,,19.0,16.0,16
706,0,,,15.0,19.0,19
707,0,,,19.0,13.0,13
708,0,,,16.0,19.0,19
709,0,,,18.0,19.0,19
710,0,,,15.0,19.0,19
711,0,,,19.0,15.0,15
712,0,,,19.0,13.0,13
713,0,,,19.0,17.0,17
714,0,,,17.0,19.0,19
715,0,,,19.0,17.0,17
716,0,,,19.0,17.0,17
717,0,,,16.0,19.0,19
718,0,,,19.0,17.0,17
719,0,,,19.0,15.0,15
720,0,,,19.0,17.0,17
721,0,,,19.0,17.0,17
722,0,0.19770408163265307,0.39852196169749926,17.0,19.0,19
723,0,,,19.0,16.0,16
724,0,,,19.0,19.0,19
725,0,,,15.0,19.0,19
726,0,,,19.0,15.0,15
727,0,,,19.0,14.0,14
728,0,0.25510204081632654,0.43619683395504855,19.0,13.0,13
729,0,,,19.0,19.0,19
730,0,0.2193877551020408,0.41409598735851316,19.0,17.0,17
731,0,,,19.0,19.0,19
732,0,0.26913265306122447,0.4437921605235045,19.0,17.0,17
733,0,,,19.0,19.0,19
734,0,,,19.0,19.0,19
735,0,,,19.0,17.0,17
736,0,,,19.0,17.0,17
737,0,,,19.0,11.0,11
738,0,,,19.0,19.0,19
739,0,0.17091836734693877,0.3766779213310439,19.0,16.0,16
740,0,,,19.0,11.0,11
741,0,,,19.0,19.0,19
742,0,0.17091836734693877,0.3766779213310439,19.0,13.0,13
743,0,,,19.0,15.0,15
744,0,,,17.0,19.0,19
745,0,,,19.0,19.0,19
746,0,,,19.0,19.0,19
747,0,,,19.0,19.0,19
748,0,,,19.0,17.0,17
749,0,,,19.0,19.0,19
750,0,,,19.0,17.0,17
751,0,,,19.0,15.0,15
752,0,,,19.0,19.0,19
753,0,,,19.0,17.0,17
754,0,,,19.0,15.0,15
755,0,,,19.0,17.0,17
756,0,,,18.0,19.0,19
757,0,0.18622448979591838,0.3895362283113687,19.0,18.0,18
758,0,,,19.0,15.0,15
759,0,,,19.0,17.0,17
760,0,,,17.0,19.0,19
761,0,0.1951530612244898,0.3965714841735147,19.0,15.0,15
762,0,,,19.0,19.0,19
763,0,,,19.0,17.0,17
764,0,0.18494897959183673,0.3885040207638285,19.0,17.0,17
765,0,,,19.0,15.0,15
766,0,,,17.0,19.0,19
767,0,,,19.0,19.0,19
768,0,,,19.0,14.0,14
769,0,,,17.0,19.0,19
770,0,,,19.0,17.0,17
771,0,,,19.0,16.0,16
772,0,,,17.0,19.0,19
773,0,,,17.0,19.0,19
774,0,0.20790816326530612,0.40606979844653907,19.0,10.0,10
775,0,,,19.0,17.0,17
776,0,,,19.0,19.0,19
777,0,,,19.0,15.0,15
778,0,,,19.0,16.0,16
779,0,,,19.0,15.0,15
780,0,,,16.0,19.0,19
781,0,0.25892857142857145,0.4383259399461001,19.0,17.0,17
782,0,,,19.0,19.0,19
783,0,0.21428571428571427,0.4105878413676263,19.0,15.0,15
784,0,,,19.0,17.0,17
785,0,,,19.0,19.0,19
786,0,,,18.0,19.0,19
787,0,,,15.0,19.0,19
